time,open,high,low,close,tick_volume,spread,rsi,ovo,cvc,hvh,lvl,ATRr_14,cd_atr,rsi_cat,rsi_diff,body_size,range_size,body_vs_atr,range_vs_atr,candle_color,exec
9/15/2025 6:45,147.436,147.44,147.392,147.416,582,22,30.86984168,-1,-1,-1,-1,0.054313324,-0.35,2,-1,0.02,0.048,0.36,0.88,-1,HOLD
9/15/2025 7:00,147.415,147.415,147.357,147.384,489,23,28.33673622,-1,-1,-1,-1,0.05464858,-0.59,1,-1,0.031,0.058,0.57,1.07,-1,HOLD
9/15/2025 7:15,147.384,147.385,147.328,147.341,456,21,25.32899796,-1,-1,-1,-1,0.054816769,-0.79,1,-1,0.043,0.057,0.79,1.04,-1,HOLD
9/15/2025 7:30,147.342,147.423,147.342,147.42,473,21,38.28877917,-1,1,1,1,0.056760895,1.44,2,1,0.078,0.081,1.42,1.48,1,HOLD
9/15/2025 7:45,147.419,147.441,147.385,147.391,258,22,35.83037844,1,-1,1,1,0.056706481,-0.51,2,-1,0.028,0.056,0.49,0.99,-1,TP
9/15/2025 8:00,147.39,147.45,147.38,147.392,522,21,35.98301657,-1,1,1,-1,0.057657058,0.02,2,1,0.002,0.07,0.04,1.23,1,WAIT
9/15/2025 8:15,147.393,147.433,147.392,147.429,379,23,41.52529123,1,1,-1,1,0.056466058,0.64,2,1,0.036,0.041,0.62,0.71,1,WAIT
9/15/2025 8:30,147.429,147.446,147.412,147.446,397,23,43.92730848,1,1,1,1,0.054859825,0.3,2,1,0.017,0.034,0.3,0.6,1,BUY
9/15/2025 8:45,147.446,147.508,147.445,147.499,522,23,50.72341654,1,1,1,1,0.055441775,0.97,2,1,0.053,0.063,0.97,1.15,1,HOLD
9/15/2025 9:00,147.501,147.544,147.485,147.522,751,20,53.36496066,1,1,1,1,0.055696141,0.41,2,1,0.021,0.059,0.38,1.06,1,HOLD
9/15/2025 9:15,147.523,147.596,147.523,147.582,825,21,59.46894349,1,1,1,1,0.057004548,1.08,2,1,0.059,0.073,1.06,1.31,1,HOLD
9/15/2025 9:30,147.583,147.591,147.54,147.558,861,23,56.29488748,1,-1,-1,1,0.056575351,-0.42,2,-1,0.025,0.051,0.44,0.89,-1,HOLD
9/15/2025 9:45,147.559,147.572,147.501,147.518,1057,21,51.37340289,-1,-1,-1,-1,0.057606354,-0.71,2,-1,0.041,0.071,0.72,1.25,-1,TP
9/15/2025 10:00,147.52,147.583,147.45,147.469,1656,20,46.06110634,-1,-1,1,-1,0.062994873,-0.85,2,-1,0.051,0.133,0.89,2.31,-1,SELL
